[0.00s -> 19.84s]  Yes, Mr. Beer.
[2092.36s -> 2098.50s]  You say in the last paragraph, I've been advised that Second Sight have now agreed that the
[2098.50s -> 2105.06s]  focus over the next few weeks will be on three specific cases, and the meeting might be a
[2105.06s -> 2110.42s]  more productive one when that work has been completed.
[2110.42s -> 2120.30s]  Do you know how it came about that what started as a debate between the choice of Deloitte
[2120.30s -> 2129.98s]  conducting a full forensic audit of Horizon, second site conducting a review of past cases
[2129.98s -> 2136.22s]  that would be a representative sample but include some testing of the integrity of the
[2136.22s -> 2143.34s]  Horizon system ended up with focusing on three cases?
[2143.34s -> 2154.78s]  My recollection is that the team, what I can recall is frustration from the team that the
[2154.78s -> 2162.64s]  work Second Sight was doing had moved away from focusing on individual cases to development
[2162.64s -> 2168.82s]  of themes, and what they were trying to do at this stage, and second side as well, to
[2168.82s -> 2176.04s]  be fair, was to try and corral this back into a piece of work which could have a report
[2176.04s -> 2181.76s]  which could be fed back to the MPs before we got to recess in just a small number of
[2181.76s -> 2185.70s]  weeks after this.
[2185.70s -> 2191.18s]  That's my recollection, and that was a, to misuse a word in this context, but that was
[2191.18s -> 2196.96s]  the theme that ran through, which was second site were focusing on themes rather than on
[2196.96s -> 2206.40s]  individual cases. And at some stage, we will come on to how that then developed into spot
[2206.40s -> 2211.60s]  reviews, which I think came after this.
[2211.60s -> 2221.64s]  And so was it the post office in your view or second site that narrowed focus down to
[2221.64s -> 2225.00s]  a very small number of cases?
[2225.00s -> 2231.04s]  My view is it was both because both second site and the post office had a commitment
[2231.04s -> 2235.72s]  to Lord Arbuthnot and the MPs to get some work out for people to look at and we were
[2235.72s -> 2241.00s]  We're now very, not quite a year, but sort of 10 months into this.
[2241.00s -> 2242.76s]  That's my recollection.
[2242.76s -> 2249.80s]  Were you aware of a view amongst the lawyers, and in particular Susan Crichton, that if
[2249.80s -> 2257.68s]  we review a large number of cases, that might open the floodgates to damages claims by some
[2257.68s -> 2259.12s]  postmasters?
[2259.12s -> 2260.80s]  No.
[2260.80s -> 2267.46s]  And that a less risky approach would be to just pick the cases in which the MPs happen
[2267.46s -> 2268.46s]  to be interested in.
[2268.46s -> 2272.08s]  No, I don't remember that at all.
[2272.08s -> 2278.36s]  Can we go to the, this is slightly out of order, but it's in order to answer the Chairman's
[2278.36s -> 2284.10s]  question from earlier, the Richard Morgan Casey advice.
[2284.10s -> 2302.22s]  poll four zeros six four eight four and the date says the 12th of June 2012. I think this
[2302.22s -> 2310.98s]  is the advice we'll see in a moment that it's recorded as a note of an in-person conference
[2310.98s -> 2312.38s]  of which you weren't aware.
[2312.38s -> 2313.58s]  That's right, yes.
[2313.58s -> 2317.02s]  And to the best of your knowledge, the board was not aware.
[2317.02s -> 2318.22s]  No, I don't believe so.
[2318.22s -> 2323.60s]  The only possible, the only person who could possibly be aware might have been
[2323.60s -> 2327.02s]  Alice Perkins in that conversation Susan had had.
[2327.02s -> 2329.58s]  But actually, looking at the data of this,
[2329.58s -> 2332.82s]  I think this comes afterwards, doesn't it?
[2332.82s -> 2338.86s]  Yes, if we look at the second bullet point, the proposal
[2338.86s -> 2344.30s]  to instruct an independent expert to prepare a report on the system is the highest risk
[2344.30s -> 2352.10s]  response to the issue. Was that view communicated to you?
[2352.10s -> 2362.14s]  No. In fact, a decision had been made, it seems
[2362.14s -> 2371.14s]  already at the meeting of the 7th of June 2012 not to instruct an expert to prepare
[2371.14s -> 2377.20s]  a report, a forensic audit of the Horizon system, hadn't it?
[2377.20s -> 2385.02s]  The decision had been made to go in my head to go with Second Sight for the right reasons.
[2385.02s -> 2389.50s]  The note records what will it achieve, and I'm not going to attribute any of these words
[2389.50s -> 2395.54s]  to anyone, because when he gave evidence, Mr. Morgan took the point that it's not clear
[2395.54s -> 2402.58s]  that it's him speaking and it's here, and it doesn't necessarily represent his advice.
[2402.58s -> 2410.10s]  It could be anyone speaking. What will it achieve? It will not be able to address any
[2410.10s -> 2417.18s]  of the civil or criminal cases dealt with under old horizon.
[2417.18s -> 2423.72s]  Was that advice communicated back to you that an independent report couldn't look at civil
[2423.72s -> 2427.92s]  or criminal cases dealt with under old horizon?
[2427.92s -> 2430.56s]  No.
[2430.56s -> 2434.36s]  Will it seek to review particular cases, if so which ones?
[2434.36s -> 2439.08s]  And then what might be said to be the important paragraph is the third one.
[2439.08s -> 2442.88s]  Whatever the findings of the expert report, it will not resolve the problem.
[2442.88s -> 2447.02s]  The post office will be damned if they do and damned if they don't.
[2447.02s -> 2451.22s]  If the findings are that there are no issues with Horizon, people will see that as a white
[2451.22s -> 2452.90s]  wash.
[2452.90s -> 2459.10s]  And then this, whereas if the findings are negative, that will open the floodgates to
[2459.10s -> 2465.06s]  damages claims by sub-postmasters who were imprisoned for false accounting.
[2465.06s -> 2469.10s]  And Access Legal, that's part of Shoesmiths, will start to pursue the civil cases they're
[2469.10s -> 2472.30s]  currently sitting on.
[2472.30s -> 2478.30s]  Has that view communicated back to you as relevant to decision making?
[2478.30s -> 2484.82s]  If we commission an independent report which comes back with negative conclusions, people
[2484.82s -> 2488.06s]  who have been prisoned might bring claims against us?
[2488.06s -> 2490.02s]  No, absolutely not.
[2490.02s -> 2496.42s]  And that that would be a reason not to commission an independent report?
[2496.42s -> 2503.06s]  it might find out things that entitle people to question their convictions or bring damages
[2503.06s -> 2504.58s]  claims against us?
[2504.58s -> 2509.06s]  No, I didn't know about this.
[2509.06s -> 2515.94s]  Did that ever form part of your decision making? We best not ask for the Deloitte report because
[2515.94s -> 2519.46s]  if it discovers too much we may face damages claims.
[2519.46s -> 2521.06s]  No.
[2521.06s -> 2525.74s]  To your knowledge, did that ever form part of any discussion or decision making at board
[2525.74s -> 2532.78s]  level? No. And as I say, in the meeting where we took the decision to go with second sight,
[2532.78s -> 2540.18s]  I don't remember looking at two separate sets of documents and comparing and contrasting.
[2540.18s -> 2546.18s]  And the foot of the screen that's being displayed, a less risky approach is to agree to take
[2546.18s -> 2552.70s]  the relevant MPs privately through particular cases in which they are interested. Was that
[2552.70s -> 2562.62s]  ever communicated back to you? No. Thank you. Can we return to where we were in the chronology,
[2562.62s -> 2581.22s]  which is the following year, June 2023, by looking at Poll 309-8789?
[2581.22s -> 2588.22s]  And if we scroll down and look at the text, the message from Olin Lyons, it's dated the
[2588.22s -> 2591.70s]  28th of June 2013.
[2591.70s -> 2596.18s]  We're getting quite close here to the date of the production of the second site interim
[2596.18s -> 2597.18s]  report, aren't we?
[2597.18s -> 2602.54s]  Which we know was published on the 8th of July 2013.
[2602.54s -> 2609.98s]  It's quite difficult because the way the text has been printed on this email.
[2609.98s -> 2616.48s]  But if you look at the fourth bullet point, Miss Lyon says to you that she is going to
[2616.48s -> 2619.62s]  spend time with Janet.
[2619.62s -> 2621.10s]  Is that Janet Walker?
[2621.10s -> 2622.10s]  Yes.
[2622.10s -> 2624.22s]  And remind us who Janet Walker was.
[2624.22s -> 2632.26s]  Janet Walker was the executive assistant for Lord Al Buthnott.
[2632.26s -> 2634.86s]  She says she can give me as long as it takes.
[2634.86s -> 2644.86s]  My approach will be to try and get to understand the status of the review and the risk to Lord
[2644.86s -> 2650.38s]  Arbuthnot and us of an incomplete interim report.
[2650.38s -> 2655.42s]  I'll share the fact that Second Sight are not using all the evidence they've been given,
[2655.42s -> 2660.72s]  and our concern is that their approach to try and keep everyone happy is not how we
[2660.72s -> 2665.24s]  we would expect a forensic accountant to behave.
[2665.24s -> 2670.36s]  I do think this is the right place to share the bugs we found and how we have dealt with
[2670.36s -> 2678.06s]  them, which is why the report from Rod, stroke Leslie, checked by legal and Mark is important.
[2678.06s -> 2687.80s]  My objective is to get Janet to a place where she also wants the meeting to be canceled.
[2687.80s -> 2701.16s]  And then if we scroll up, please, we'll see your reply, um, sending on to Alice Perkins.
[2701.16s -> 2706.00s]  Second paragraph, you'll see below Alice's, uh, Alwyn's proposed next steps, covers all
[2706.00s -> 2707.00s]  the ground.
[2707.00s -> 2714.56s]  Uh, Alwyn and I, third paragraph, are staying close, and I'm expecting an update later
[2714.56s -> 2721.20s]  this afternoon, no need to bother you today.
[2721.20s -> 2728.12s]  On what basis did you understand the post officer determined that Second Sight were
[2728.12s -> 2734.24s]  not using all of the evidence that the post office had given them?
[2734.24s -> 2738.20s]  From conversations with the team involved in the work.
[2738.20s -> 2739.36s]  Second Sight were getting it wrong.
[2739.36s -> 2742.36s]  They were not looking at the evidence.
[2742.36s -> 2746.36s]  I'm sorry, I didn't mean to cut across you.
[2746.36s -> 2750.16s]  No, I don't think that is what I was told.
[2750.16s -> 2753.08s]  What I was told is that they hadn't,
[2753.08s -> 2757.36s]  because this had run on too long, they hadn't yet had time
[2757.36s -> 2759.88s]  to take account of the post office's view
[2759.88s -> 2761.44s]  in the investigations they were doing.
[2761.44s -> 2763.68s]  That's my recollection of what I was told,
[2763.68s -> 2766.44s]  not because they were getting it wrong.
[2766.44s -> 2767.68s]  Was there any?
[2767.68s -> 2768.64s]  Sorry, I beg your pardon.
[2768.64s -> 2770.58s]  They may have been getting it wrong
[2770.58s -> 2778.14s]  because they hadn't yet taken account of the input from the post office.
[2778.14s -> 2784.98s]  Was there a suggestion in what you were told that second sites were biased in their approach?
[2784.98s -> 2796.00s]  No, certainly not at this stage. My very clear recollection is this was simply, to describe
[2796.00s -> 2801.86s]  bit more colloquially, the team felt it was unfair because post office hadn't had the
[2801.86s -> 2808.72s]  opportunity to contribute yet. Whether that was true or not, I didn't check that was Second
[2808.72s -> 2812.92s]  Sight, but what I was told is that the work was so far behind that Second Sight had yet
[2812.92s -> 2816.94s]  to take account of the post office's input.
[2816.94s -> 2820.42s]  Was the sense of unfairness conveyed to you?
[2820.42s -> 2822.76s]  Frustration, I think.
[2822.76s -> 2825.76s]  By who?
[2825.76s -> 2838.80s]  Alwyn certainly was one of the main people I spoke to, Susan and I think David Oliver,
[2838.80s -> 2843.16s]  but that's only, I'm only remembered by having seen his name today.
[2843.16s -> 2848.52s]  What evidence were you told that the post office had provided to Second Sides that they
[2848.52s -> 2851.84s]  were not using or taking account of?
[2851.84s -> 2855.36s]  I can't remember today, I'm sorry.
[2855.36s -> 2861.44s]  They were looking at a number of cases, is my understanding, and these cases raised different
[2861.44s -> 2862.44s]  issues.
[2862.44s -> 2868.20s]  So, it would have been whatever data the post office needed to present about the issue that
[2868.20s -> 2869.76s]  was being investigated.
[2869.76s -> 2876.76s]  But were you told that SecondSight were trying to, in the words of the email, keep everyone
[2876.76s -> 2880.24s]  happy?
[2880.24s -> 2887.60s]  I was told that, and I knew, I think, because we had agreed to fund KALIN-L to support the
[2887.60s -> 2895.96s]  JFSA, I was told that they, I think, if I remember the timing correctly, that they had
[2895.96s -> 2901.80s]  been asked by Lord Arbuthnot to keep the JFSA happy.
[2901.80s -> 2909.84s]  And I don't think we had any problem with that until the team began to raise these questions
[2909.84s -> 2912.54s]  that perhaps because of that second site,
[2912.54s -> 2915.44s]  we're not looking at the post office work.
[2915.44s -> 2919.28s]  But I'm probably now speculating too much, to be fair.
[2919.28s -> 2922.36s]  Did you tell second site that they were being unfair
[2922.36s -> 2926.02s]  on the post office by not taking account of the evidence
[2926.02s -> 2928.12s]  that the post office was giving to them?
[2929.46s -> 2932.60s]  I didn't have regular conversations with second site.
[2932.60s -> 2934.48s]  I was running the organization.
[2934.48s -> 2937.76s]  I wasn't closely involved in the detail of this work.
[2937.76s -> 2944.42s]  I'm sure if I, I'm not sure if I spoke to him at this time, but I would have had no
[2944.42s -> 2948.62s]  problem sharing that piece of information.
[2948.62s -> 2956.82s]  Did you tell Second Sight about the post office's concerns about its approach or alleged approach
[2956.82s -> 2960.36s]  of keeping the GFSA happy?
[2960.36s -> 2963.94s]  I don't believe I spoke to Second Sight.
[2963.94s -> 2970.02s]  anyone to your knowledge say, you're not treating us fairly, you're trying to keep the sub-postmasters
[2970.02s -> 2972.98s]  happy and you're not looking at our evidence?
[2972.98s -> 2978.98s]  I would hope that the post office team, sorry, first of all, I don't think the post office
[2978.98s -> 2981.54s]  team would have said you're trying to keep the sub-postmasters happy.
[2981.54s -> 2987.06s]  I may be wrong on that because that feels too strong a view in one direction.
[2987.06s -> 2992.18s]  This whole point was to look at the sub-postmasters' cases, but I think the team would undoubtedly
[2992.18s -> 2998.22s]  has said to Second Sight, there is more information here to be taken account of.
[2998.22s -> 3004.74s]  Can we look a little more deeply at the move to select a small number of cases by looking
[3004.74s -> 3018.54s]  at poll 00144687?
[3018.54s -> 3021.56s]  This is the previous month.
[3021.56s -> 3031.42s]  If we look at page two, please, and scroll down.
[3031.42s -> 3041.38s]  An email between Simon Baker and Second Sight with all the lions copied in.
[3041.38s -> 3045.42s]  Not you at this stage, but it's about a meeting.
[3045.42s -> 3051.46s]  I think this is the meeting that we've just seen, post office was going to try and get
[3051.46s -> 3053.70s]  cancelled.
[3053.70s -> 3062.08s]  Ron, just to ensure that we're on the same page, Paula would like to say we've agreed
[3062.08s -> 3064.26s]  the following with SecondSide.
[3064.26s -> 3066.94s]  Can you confirm you agree?
[3066.94s -> 3075.04s]  The investigation reports on two to three EMPs cases by summer assess or more, by using
[3075.04s -> 3081.30s]  the two to three cases, you'll answer the question, have systemic defects in the horizon
[3081.30s -> 3093.46s]  system resulted in the wrongful conviction or suspension of sub-postmasters?
[3093.46s -> 3105.20s]  By this stage, had the proposal that we saw at the first thing this morning to examine
[3105.20s -> 3112.22s]  a representative sample of cases been abandoned?
[3112.22s -> 3118.86s]  Not on my understanding.
[3118.86s -> 3131.58s]  How did it come about that by late May, the post office was proposing that by looking
[3131.58s -> 3139.46s]  at two to three cases, second site could answer the very big question, have systemic defects
[3139.46s -> 3146.10s]  in the horizon resulted in the wrongful conviction or suspension of sub-postmasters?
[3146.10s -> 3155.16s]  I'm not sure, but when the report was produced, as the inquiry knows, one of the conclusions
[3155.16s -> 3158.82s]  was that so far no systemic defects had been found.
[3158.82s -> 3163.42s]  So whether as a result of the broader work, so Second Sight had been working.
[3163.42s -> 3166.42s]  Sorry, can you repeat that answer, please?
[3166.42s -> 3167.42s]  Yes.
[3167.42s -> 3174.70s]  When the Second Sight Injury Report was published, one of its initial conclusions was that so
[3174.70s -> 3179.08s]  So far, no systemic issues had been found with the Horizon system.
[3179.08s -> 3182.32s]  And just stopping there, that's two months after this.
[3182.32s -> 3189.04s]  Yes, but I'm getting to answer your question, if I may, because to have reached that conclusion,
[3189.04s -> 3197.56s]  which in a sense is what point four here refers to, referring back to point two, you couldn't
[3197.56s -> 3199.92s]  reach that conclusion on two to three cases.
[3199.92s -> 3202.42s]  So how could you do it on two to three cases?
[3202.42s -> 3204.90s]  Because of the other work they had done.
[3204.90s -> 3210.52s]  They were working through different themes, as I understood it, so potentially through
[3210.52s -> 3212.72s]  that work.
[3212.72s -> 3215.28s]  Second site had been working on this for 10 months now.
[3215.28s -> 3219.84s]  They hadn't just done two to, well, they hadn't even done two to three cases in that period
[3219.84s -> 3220.84s]  of time.
[3220.84s -> 3228.20s]  Why was the proposal to limit the report to determining whether systemic defects in Horizon
[3228.20s -> 3234.60s]  that resulted in wrongful convictions on the basis of two or three cases?
[3234.60s -> 3235.60s]  I don't know.
[3235.60s -> 3238.04s]  I wasn't involved in the conversation.
[3238.04s -> 3244.92s]  I believe from other documentation I've seen that the recommendation was to choose two
[3244.92s -> 3250.96s]  of the three, I don't think this is the word, but hardest cases.
[3250.96s -> 3257.20s]  So not cases that would have presented the post office in the best light, but cases which
[3257.20s -> 3264.00s]  which could have been used to challenge the Horizon system and then do that work through.
[3264.00s -> 3266.70s]  There is some documentation on this somewhere else.
[3266.70s -> 3274.16s]  How could two or three cases possibly answer the question, have systemic defects in Horizon
[3274.16s -> 3276.54s]  generally resulted in the wrongful conviction?
[3276.54s -> 3277.54s]  They couldn't.
[3277.54s -> 3279.80s]  They could not possibly do that.
[3279.80s -> 3285.48s]  And I wasn't involved in this conversation, but by this stage, there was an urgency to
[3285.48s -> 3291.88s]  have a report produced that showed that some work was at least in progress and I
[3291.88s -> 3302.88s]  You say you weren't involved in this conversation. This email says you want to say this.
[3302.88s -> 3312.00s]  Paula would like to say the following. Yes.
[3312.00s -> 3318.42s]  Did you want to say that by looking at two or three cases, we can answer the entire question
[3318.42s -> 3324.92s]  of whether systemic defects had resulted in the wrongful conviction of sub-postmasters?
[3324.92s -> 3333.98s]  I was absolutely not, to be completely clear, trying to drive a conclusion from Second Sight
[3333.98s -> 3337.98s]  that they would not have given.
[3337.98s -> 3340.78s]  That's an answer to a different question.
[3340.78s -> 3347.60s]  No, I realize that, but I don't recall the back, so I didn't write this email.
[3347.60s -> 3350.08s]  I wasn't copied in this email.
[3350.08s -> 3355.60s]  I don't recall a conversation where I consciously said it would be possible, because it wouldn't
[3355.60s -> 3361.64s]  be possible, to come to a conclusion on systemic defects as a result of two to three cases.
[3361.64s -> 3362.64s]  My only-
[3362.64s -> 3367.84s]  Isn't that exactly what happened, Ms. Reynolds, that the second site report addressed a very
[3367.84s -> 3369.74s]  small number of cases?
[3369.74s -> 3375.80s]  It contained the sentence about no systemic defects and then forever after the post office
[3375.80s -> 3379.04s]  paraded that conclusion.
[3379.04s -> 3382.20s]  It did come to that conclusion in its interim report.
[3382.20s -> 3386.48s]  There is no way the post office, that first of all there is no way that I would have wanted
[3386.48s -> 3390.64s]  to persuade Second Sight on something that they were not prepared to say and I don't
[3390.64s -> 3393.92s]  believe Second Sight would ever have agreed to that.
[3393.92s -> 3400.52s]  If they came to that conclusion in their interim report, that was their conclusion.
[3400.52s -> 3403.20s]  Isn't that what the Post Office wanted to drive them to?
[3403.20s -> 3406.62s]  And isn't this the evidence of such driving?
[3406.62s -> 3413.76s]  The Post Office most certainly wanted the reassurance that the Horizon system could
[3413.76s -> 3415.96s]  be relied upon.
[3415.96s -> 3420.04s]  That has been the objective all the way through this.
[3420.04s -> 3428.86s]  At no stage did I get the sense that anybody in the post office was going to be able to
[3428.86s -> 3433.44s]  influence Second Sight over what conclusions they came to.
[3433.44s -> 3437.44s]  I would be very surprised if that was the case here.
[3437.44s -> 3445.92s]  Did you receive or the board receive any advice as to the appropriate scope of an investigation
[3445.92s -> 3452.96s]  by Second Site as to the nature and extent of any investigation that would be required
[3452.96s -> 3459.32s]  in order to determine whether there were systemic defects in Horizon.
[3459.32s -> 3464.72s]  The only information I and the Board had was contained in the terms of reference of the
[3464.72s -> 3469.36s]  work the Second Site were doing, which is what we looked at earlier.
[3469.36s -> 3477.36s]  i.e. we, the post office, need to engage somebody to produce a report whose conclusions are
[3477.36s -> 3483.54s]  respectable and truly provide us with the answer as to whether or not there are systemic
[3483.54s -> 3485.58s]  defects in Horizon.
[3485.58s -> 3487.54s]  Yes.
[3487.54s -> 3493.34s]  You think that's the report they produced?
[3493.34s -> 3501.06s]  Second site didn't produce the report that Project Spire under Deloitte could have produced.
[3501.06s -> 3505.26s]  Second site responded to the terms of reference which were agreed with them.
[3505.26s -> 3514.06s]  This work was approached from the point of view of trying to resolve postmaster cases.
[3514.06s -> 3515.42s]  That was the genesis of it.
[3515.42s -> 3524.34s]  That was the initial conversation with Rood, Arbuthnot and Alice Perkins.
[3524.34s -> 3529.02s]  Can we move forwards, please?
[3529.02s -> 3534.66s]  Before we do, Mr. Baker, can I just be clear about what you are saying about this email,
[3534.66s -> 3536.62s]  Ms. Wells?
[3536.62s -> 3549.38s]  As I read it, it is a request by Mr. Baker to Mr. Warmington that four matters are agreed,
[3549.38s -> 3554.62s]  and it reads as if he is making that request on your behalf.
[3554.62s -> 3555.62s]  All right?
[3555.62s -> 3556.62s]  That's how it reads.
[3556.62s -> 3557.62s]  Yes, it does read that way.
[3557.62s -> 3565.64s]  So what is your evidence to me about whether Mr. Baker was accurately representing what
[3565.64s -> 3567.64s]  you had told him in this email?
[3581.08s -> 3585.16s]  Firstly, Suin, I don't recall the conversation
[3585.16s -> 3588.32s]  with Simon Baker at all.
[3588.32s -> 3593.32s]  I rarely met with Simon.
[3593.32s -> 3595.88s]  And if I did, it was usually with Susan or Alwyn.
[3599.72s -> 3606.08s]  But it sounds as though, at some stage,
[3606.08s -> 3608.20s]  a conversation was had.
[3608.20s -> 3611.36s]  And I may have accepted that you could,
[3611.36s -> 3613.84s]  this email could have been produced one of two ways,
[3613.84s -> 3614.96s]  couldn't it, multiple ways.
[3614.96s -> 3617.68s]  I could have said, this is what I want.
[3617.68s -> 3620.96s]  Or he could have said to me, this is where we're at.
[3620.96s -> 3627.08s]  We think that actually we will get two to three MP cases done, and I may well have said,
[3627.08s -> 3633.44s]  will that help us answer the question about other systemic defects in the Horizon system?
[3633.44s -> 3640.96s]  I wouldn't have known personally from any of the, because I wasn't involved in the work
[3640.96s -> 3647.64s]  or conversations at Second Sight, point four about whether they could have said no or not
[3647.64s -> 3649.06s]  at this stage.
[3649.06s -> 3654.62s]  So I can only assume that has come from a conversation with Simon Baker and or somebody
[3654.62s -> 3655.62s]  else.
[3655.62s -> 3656.62s]  All right.
[3656.62s -> 3657.62s]  Thank you.
[3657.62s -> 3677.18s]  Can we move forward a couple of days to poll 309-8317?
[3677.18s -> 3684.24s]  This is a briefing for you, for the meeting that was proposed to be held between you and
[3684.24s -> 3686.14s]  James R. Buffnot on the 23rd of May.
[3686.14s -> 3687.14s]  Can you see that?
[3687.14s -> 3688.14s]  Yes.
[3688.14s -> 3689.14s]  Yes.
[3689.14s -> 3696.98s]  And it says, under key messages, we're concerned that the investigation is overrunning, the
[3696.98s -> 3703.06s]  findings will not be definitive, and there'll be no satisfactory outcome to the horizon
[3703.06s -> 3706.70s]  question for MPs or the post office.
[3706.70s -> 3713.46s]  We would like to discuss ways to more clearly define the scope so we get a definitive outcome
[3713.46s -> 3720.24s]  within reasonable time scales.
[3720.24s -> 3726.50s]  And then under the heading background, 2.1, when the post office commissioned second site,
[3726.50s -> 3734.82s]  the expectation was that the investigation would review a small number of MP cases, six
[3734.82s -> 3744.90s]  to 12 cases. Firstly, does that represent your recollection of the post office's expectation
[3744.90s -> 3748.82s]  when Second Sight were being instructed?
[3748.82s -> 3754.38s]  I don't remember today, but we were talking to Lord Arbuthnot and I think two or three
[3754.38s -> 3758.88s]  other MPs, so that's entirely possible.
[3758.88s -> 3767.40s]  Do you know why it was the post office's expectation that a smallish number of cases, six to 12,
[3767.40s -> 3771.44s]  would be the limit of second site's review?
[3771.44s -> 3778.32s]  Presumably because that was the number that was being discussed at the time.
[3778.32s -> 3780.12s]  Discussed by who?
[3780.12s -> 3784.68s]  With James R. Buffnot and the team working on it.
[3784.68s -> 3791.68s]  I don't recollect six to 12 cases as a particular number, because what I remember is that the
[3791.68s -> 3795.56s]  number increased as more MPs raised cases.
[3795.56s -> 3800.32s]  You remember the second site proposal that we looked at.
[3800.32s -> 3810.36s]  It suggested scope of work was to review a representative sample of cases in order to
[3810.36s -> 3813.68s]  answer the question of whether there had been wrongful convictions.
[3813.68s -> 3815.44s]  Yes.
[3815.44s -> 3820.08s]  Was that the post office's understanding when it was commissioning second side, that that's
[3820.08s -> 3826.72s]  the work that it would be undertaking?
[3826.72s -> 3832.76s]  If that is what was in the final terms of reference, yes.
[3832.76s -> 3838.92s]  The minute, oh sorry, the speaking note or briefing carries on, MPs have now submitted
[3838.92s -> 3844.52s]  29 cases, and JFSA have submitted about 20 cases.
[3844.52s -> 3851.48s]  It's unlikely that the investigation, no matter how long it runs, will conclude anything definitive.
[3851.48s -> 3856.78s]  As the remit has become blurred, different stakeholders have different expectations,
[3856.78s -> 3860.10s]  and the evidence is open to interpretation.
[3860.10s -> 3864.36s]  Was that a view that you held at the time?
[3864.36s -> 3869.76s]  I didn't have a view on the work because I wasn't closely associated with it.
[3869.76s -> 3875.08s]  So I would take the view that I was given by the experts who were doing the work at
[3875.08s -> 3876.08s]  the time.
[3876.08s -> 3884.38s]  So you would subscribe to or be willing to repeat that view expressed in 2.3?
[3884.38s -> 3885.38s]  Not necessarily.
[3885.38s -> 3888.74s]  I mean, if I was given information, I would usually ask questions about it.
[3888.74s -> 3892.68s]  I don't know what I did with this brief at the time.
[3892.68s -> 3899.88s]  the suggestion that any investigation would conclude anything definitive, was that your
[3899.88s -> 3900.88s]  understanding?
[3900.88s -> 3905.92s]  No, I don't think that was my understanding at any time throughout this, and the inquiry
[3905.92s -> 3911.40s]  will see there is further documentation where I have, I'm exhorting the post office and
[3911.40s -> 3917.88s]  second site to move through the cases because I wanted the cases looked at.
[3917.88s -> 3925.88s]  There was at this time, actually, a potential helpful issue, a number of cases had come
[3925.88s -> 3932.36s]  through, I think, from MPs, and there was some debate about whether there was sufficient
[3932.36s -> 3939.08s]  information and quality of information to be able to do any work on them at all.
[3939.08s -> 3940.38s]  And that was second sight for you.
[3940.38s -> 3944.20s]  They went back to some of those cases, and in some cases, they couldn't produce information.
[3944.20s -> 3948.20s]  So whether that was part of this point, I don't know.
[3948.20s -> 3955.32s]  Did the post office subsequently present Second Sites interim report as a definitive view
[3955.32s -> 3963.32s]  that there were no systemic errors or failures in Horizon?
[3963.32s -> 3968.48s]  The post office presented it sometimes definitively and sometimes less so.
[3968.48s -> 3969.48s]  Yes.
[3969.48s -> 3977.48s]  Do you know how that came about given what is recognized by this note at this stage?
[3977.48s -> 3985.48s]  No, I think what happened is that when the interim report was published and it said it
[3985.48s -> 3991.20s]  was an interim report and so far it had found no systemic issues with Horizon, that was
[3991.20s -> 3998.88s]  reported sometimes in communications saying so far they had found none, and there is documentation
[3998.88s -> 4004.22s]  where I'm asked about, or maybe I offered the view that actually the qualification was
[4004.22s -> 4010.98s]  so far. And there are other communications which may simply be inconsistency of communication,
[4010.98s -> 4016.70s]  I don't know, which simply says they had found nothing systemic.
[4016.70s -> 4023.82s]  Under the heading, sorry, just above the heading, proposal 2.6, the investigation's been running
[4023.82s -> 4034.38s]  for a year and to date no evidence of systemic failures has been found. Proposal. James Arbuthnot
[4034.38s -> 4042.62s]  to request Second Sight to complete the investigations on two to three MPs cases, selecting the ones
[4042.62s -> 4050.22s]  they feel best indicate systemic problems. That was the point I was trying to make earlier.
[4050.22s -> 4065.46s]  How would an individual case indicate systemic problems?
[4065.46s -> 4069.10s]  I don't know that I can answer that question.
[4069.10s -> 4070.62s]  It could be tricky, isn't it?
[4070.62s -> 4078.74s]  It's very tricky, yes.
[4078.74s -> 4085.54s]  This was a briefing to you of what you should say and seek to achieve in a meeting with
[4085.54s -> 4089.54s]  James R. Buthnodt.
[4089.54s -> 4092.54s]  Yes?
[4092.54s -> 4095.54s]  Yes.
[4095.54s -> 4106.38s]  Had you signed up to this idea by this time at least then that James R. Buthnodt should
[4106.38s -> 4114.38s]  be asked to persuade Second Sight to wind their investigation up on two to three cases,
[4114.38s -> 4120.24s]  and those two to three cases would answer the question, have systemic defects resulted
[4120.24s -> 4129.98s]  in the wrongful conviction of sub-postmasters?
[4129.98s -> 4131.14s]  Could you ask the question again?
[4131.14s -> 4132.14s]  Yes.
[4132.14s -> 4133.14s]  I'm sorry.
[4133.14s -> 4134.14s]  Yes.
[4134.14s -> 4143.54s]  In readiness for the meeting with James Arbuthnot on the 23rd of May 2013, you signed up to
[4143.54s -> 4152.10s]  the idea that he would be asked to persuade second site or request second site to wind
[4152.10s -> 4160.02s]  their investigation up on the basis of two to three MP cases answering the question,
[4160.02s -> 4168.04s]  systemic defects in Horizon resulted in the wrongful conviction of some postmasters?
[4168.04s -> 4177.28s]  I don't believe so because we had committed to a larger number of cases. There were significantly
[4177.28s -> 4181.00s]  more cases now in, I was going to say the scheme, but we're not yet into the scheme,
[4181.00s -> 4190.22s]  it now in the project. This was an interim report and I don't think there is any evidence
[4190.22s -> 4195.40s]  that I thought that was the case. My understanding was that this, we had made a commitment to
[4195.40s -> 4201.44s]  the MPs and all the way through this I wanted all of the cases looked at.
