sentence_index,entity_raw,entity_normalised,category,sentence_text
443,Simon Baker,Simon Baker,Individual,"No, first we heard of that was from Simon Baker in, I think, May 2013."
444,the Post Office,Post Office,Organisation,Did the Post Office provide you with Jason Coyne's report prepared for the purposes of the case involving Julie Walstenholme in 2004?
444,Jason Coyne's,Jason Coyne's,Individual,Did the Post Office provide you with Jason Coyne's report prepared for the purposes of the case involving Julie Walstenholme in 2004?
444,Julie Walstenholme,Julie Walstenholme,Individual,Did the Post Office provide you with Jason Coyne's report prepared for the purposes of the case involving Julie Walstenholme in 2004?
446,the Post Office,Post Office,Organisation,Did the Post Office provide you with the BDO Stoy Heywood report prepared for the purposes of the Lee Castleton case in 2006?
446,BDO Stoy Heywood,BDO Stoy Heywood,Organisation,Did the Post Office provide you with the BDO Stoy Heywood report prepared for the purposes of the Lee Castleton case in 2006?
446,Lee Castleton,Lee Castleton,Individual,Did the Post Office provide you with the BDO Stoy Heywood report prepared for the purposes of the Lee Castleton case in 2006?
447,the Post Office,Post Office,Organisation,"No. Did the Post Office provide you with any witness statements that had been prepared in past cases concerning the Post Office in criminal proceedings which set out categories of documents, including PinICL, peaks and kells, that may be relevant to your investigation?"
449,the Post Office,Post Office,Organisation,And same question in relation to civil proceedings brought by or against the Post Office?
450,Lee Castleton,Lee Castleton,Individual,"No, first we heard of civil proceedings was the Lee Castleton case, which came up quite a bit later."
451,the Post Office,Post Office,Organisation,Did the Post Office provide you with any operational change proposal records which set out the existence of a facility for remote access and email correspondence in which the Post Office approved Fujitsu remotely inserting messages at a branch level?
451,Fujitsu,Fujitsu,Organisation,Did the Post Office provide you with any operational change proposal records which set out the existence of a facility for remote access and email correspondence in which the Post Office approved Fujitsu remotely inserting messages at a branch level?
452,Ian,Ian,Individual,"No, first we heard of that was Ian's discovery of the Gareth Jenkins document while he was sitting next to Susan Crichton and John Elsing."
452,Susan Crichton,Susan Crichton,Individual,"No, first we heard of that was Ian's discovery of the Gareth Jenkins document while he was sitting next to Susan Crichton and John Elsing."
452,John Elsing,John Elsing,Individual,"No, first we heard of that was Ian's discovery of the Gareth Jenkins document while he was sitting next to Susan Crichton and John Elsing."
453,Post Office,Post Office,Organisation,"Did you discuss with anyone within Post Office why haven't you got a general file, a compendium or a case management system?"
454,Susan Crichton,Susan Crichton,Individual,"Absolutely, with Susan Crichton."
460,Susan,Susan Crichton,Individual,"Yes, I mean, I said literally, Susan, where's the general file on this that will help to give Ian and myself an efficient briefing on what has been going on?"
460,Ian,Ian,Individual,"Yes, I mean, I said literally, Susan, where's the general file on this that will help to give Ian and myself an efficient briefing on what has been going on?"
463,Susan,Susan Crichton,Individual,"But she was— I can't fault Susan, she just knew there wasn't anything there."
467,Henderson,Ian Henderson,Individual,Is this a document that you drafted or Mr Henderson?
470,Susan,Susan Crichton,Individual,"Well, Susan had said to me, as best I recall, and I recall these things pretty well, she said something along the lines of, I've been asked to take over the POID, the Post Office Investigation Department, John Scott's department."
470,the Post Office Investigation Department,the Post Office Investigation Department,Organisation,"Well, Susan had said to me, as best I recall, and I recall these things pretty well, she said something along the lines of, I've been asked to take over the POID, the Post Office Investigation Department, John Scott's department."
470,John Scott's,John Scott's,Individual,"Well, Susan had said to me, as best I recall, and I recall these things pretty well, she said something along the lines of, I've been asked to take over the POID, the Post Office Investigation Department, John Scott's department."
481,Susan,Susan Crichton,Individual,"It was just really almost a personal memo between between myself and Susan, with caveats as to its reliability."
486,Post Office's,Post Office,Organisation,What have we found about Post Office's investigation function in reviewing case files during the Horizon investigation.
486,Horizon,Horizon,Technical System,What have we found about Post Office's investigation function in reviewing case files during the Horizon investigation.
487,the Post Office's,Post Office,Organisation,"In reviewing the Post Office's documentation relating to the 29 MP-referred cases and the 20 cases referred by the JFSA, Second Sight has gained an insight into the workings of Post Office's investigation team."
487,Sight,Second Sight,Organisation,"In reviewing the Post Office's documentation relating to the 29 MP-referred cases and the 20 cases referred by the JFSA, Second Sight has gained an insight into the workings of Post Office's investigation team."
496,Post Office,Post Office,Organisation,We've also not researched the legal basis on which the Post Office conducts either investigations or prosecution.
498,Post Office,Post Office,Organisation,"One, Post Office investigators and investigations are overwhelmingly focused on obtaining an admission of false accounting from the interviewed subpostmaster."
501,Post Office,Post Office,Organisation,"2, Post Office investigators often appear to have paid scant attention to the interviewee's assertions of innocence or his or her reference to specific transaction anomalies, they seem to have shown little or no willingness to establish the underlying root cause of any given shortfall."
504,Post Office,Post Office,Organisation,"In either event, since Post Office doesn't need to show where the money's gone, investigators see no business benefit in trying to establish the underlying root causes of the loss."
521,Susan,Susan Crichton,Individual,"Susan, I think, was foisted off, I think she had to take over the department in the end, So— and it was just done as a kind of an aside, so I'm afraid I never did see the need to finalise it."
525,Amanda Peacock,Amanda Peacock,Organisation,This is an email of much later from Amanda Peacock of the CCRC.
527,Roderick Williams,Roderick Williams,Individual,"To Roderick Williams, you're not copied in, she says, I've managed to find a bit more information about the report that Ron apparently wrote."
527,Ron,Ron,Individual,"To Roderick Williams, you're not copied in, she says, I've managed to find a bit more information about the report that Ron apparently wrote."
529,Ron,Ron,Individual,"Ron tells me that, and then there is a quote attributed to you."
530,CCRC,CCRC,Organisation,"engage in email correspondence with the CCRC, or is that a quote from you saying something over the phone?"
533,Susan Crichton,Susan Crichton,Individual,"So you are said to have said, I wrote the report on the investigations function in 2013 at the specific verbal request Susan Crichton."
537,Post Office's,Post Office,Organisation,"Who later shared with me her concerns about Post Office's Investigations Department, POID."
537,Investigations Department,Investigations Department,Organisation,"Who later shared with me her concerns about Post Office's Investigations Department, POID."
541,Ian Henderson,Ian Henderson,Individual,"Later, in the latter part of January '14, as I recall, my colleague Ian Henderson sent a copy of the report, still marked as draft as far as I can recall, to Chris O'Yard, who at that time was Post Office's General Counsel, copying Belinda Crowe at the Post Office."
541,Chris O'Yard,Chris O'Yard,Individual,"Later, in the latter part of January '14, as I recall, my colleague Ian Henderson sent a copy of the report, still marked as draft as far as I can recall, to Chris O'Yard, who at that time was Post Office's General Counsel, copying Belinda Crowe at the Post Office."
541,Post Office's,Post Office,Organisation,"Later, in the latter part of January '14, as I recall, my colleague Ian Henderson sent a copy of the report, still marked as draft as far as I can recall, to Chris O'Yard, who at that time was Post Office's General Counsel, copying Belinda Crowe at the Post Office."
541,General Counsel,General Counsel,Organisation,"Later, in the latter part of January '14, as I recall, my colleague Ian Henderson sent a copy of the report, still marked as draft as far as I can recall, to Chris O'Yard, who at that time was Post Office's General Counsel, copying Belinda Crowe at the Post Office."
541,Belinda Crowe,Belinda Crowe,Individual,"Later, in the latter part of January '14, as I recall, my colleague Ian Henderson sent a copy of the report, still marked as draft as far as I can recall, to Chris O'Yard, who at that time was Post Office's General Counsel, copying Belinda Crowe at the Post Office."
546,O'Yard,O'Yard,Individual,Mr. O'Yard had asked to see a copy of the report after existence was mentioned at a meeting of the mediation working group.
547,Post Office,Post Office,Organisation,Post Office ought to be able to locate a copy copy of that email to which the report was attached.
548,Ian,Ian,Individual,"As mentioned, it was sent by Ian to those 2 Post Office employees, copying also myself."
548,Post Office,Post Office,Organisation,"As mentioned, it was sent by Ian to those 2 Post Office employees, copying also myself."
549,O'Yard,O'Yard,Individual,"Is that accurate, that that's what you said, but also the underlying facts that Mr O'Yard had asked to see a copy of the report and it was sent over to him?"
550,Ian,Ian,Individual,"Yes, I think it was Ian, Mr Henderson, that relayed to me that Mr Ojaard had asked him."
550,Ojaard,Ojaard,Individual,"Yes, I think it was Ian, Mr Henderson, that relayed to me that Mr Ojaard had asked him."
551,Ojaard,Ojaard,Individual,"So I don't think Mr Ojaard asked me, I think he asked Ian, but I'm a little bit hazy on that."
551,Ian,Ian,Individual,"So I don't think Mr Ojaard asked me, I think he asked Ian, but I'm a little bit hazy on that."
552,Ojaard,Ojaard,Individual,But I know the request came from Mr Ojaard and that's why an old copy of the thing was dusted off and produced.
557,Ian,Ian,Individual,"Ian and I being surprised that yet again a key document had not been handed over from one General Counsel to the next, and therefore it was obviously something that, although I'd produced it for Susan, I'd produced it for her in her capacity as the General Counsel and therefore he was entitled to see it."
557,General Counsel,General Counsel,Organisation,"Ian and I being surprised that yet again a key document had not been handed over from one General Counsel to the next, and therefore it was obviously something that, although I'd produced it for Susan, I'd produced it for her in her capacity as the General Counsel and therefore he was entitled to see it."
557,Susan,Susan Crichton,Individual,"Ian and I being surprised that yet again a key document had not been handed over from one General Counsel to the next, and therefore it was obviously something that, although I'd produced it for Susan, I'd produced it for her in her capacity as the General Counsel and therefore he was entitled to see it."
557,the General Counsel,the General Counsel,Organisation,"Ian and I being surprised that yet again a key document had not been handed over from one General Counsel to the next, and therefore it was obviously something that, although I'd produced it for Susan, I'd produced it for her in her capacity as the General Counsel and therefore he was entitled to see it."
573,Warmington,Ron Warmington,Individual,"Good afternoon, Mr. Warmington."
576,Ian Henderson,Ian Henderson,Individual,"Paragraph 46, which is in the bottom half of the page, you say that after discussions with Ian Henderson as to the seriousness of his findings of probable prosecutorial misconduct from his review of the small number of legal files to which he had been given unrestricted access— only 7, as you recall it— I decided to speak directly with Susan Creisham about that very important matter."
576,Susan Creisham,Susan Creisham,Individual,"Paragraph 46, which is in the bottom half of the page, you say that after discussions with Ian Henderson as to the seriousness of his findings of probable prosecutorial misconduct from his review of the small number of legal files to which he had been given unrestricted access— only 7, as you recall it— I decided to speak directly with Susan Creisham about that very important matter."
578,Sight,Second Sight,Organisation,"During a meeting with her, I said that whereas I was confident that Second Sight had the ability to assess the adequacy of evidence in cases of suspected fraud and financial theft, we were forensic accountants, not lawyers experienced in criminal prosecutions or defence, so it was essential that our findings be quickly, thoroughly, and independently independently either ratified or refuted by a competent barrister experienced in criminal cases."
579,Susan,Susan Crichton,Individual,"Susan, who like practically every other general counsel I'd ever met claimed no expertise herself in matters of criminal prosecution, said that she would take the matter to Cartwright King."
579,Cartwright King,Cartwright King,Individual,"Susan, who like practically every other general counsel I'd ever met claimed no expertise herself in matters of criminal prosecution, said that she would take the matter to Cartwright King."
582,Susan Crichton,Susan Crichton,Individual,And was it just you and Susan Crichton present?
583,Henderson,Ian Henderson,Individual,You drew to her attention matters of prosecutorial misconduct that your colleague Mr Henderson had uncovered in a small number of files to which he had had access?
586,Ian,Ian,Individual,"Yes, in every case, inattention to the underlying root causes of the shortfalls that were being pursued civilly or criminally, but also, as Ian has mentioned, the failure to disclose, as far as he could detect, because I was relying on his input on this and it was entirely credible to me, not disclosing exculpatory evidence, evidence of innocence if you like, or evidence that would undermine the prosecution or a civil case."
587,Ian,Ian,Individual,"And so this— I had and still have less experience than does Ian on matters of prosecutorial conduct, but it was pretty compelling to me, and so I thought that I needed to share those views with Susan."
587,Susan,Susan Crichton,Individual,"And so this— I had and still have less experience than does Ian on matters of prosecutorial conduct, but it was pretty compelling to me, and so I thought that I needed to share those views with Susan."
588,Susan Crichton,Susan Crichton,Individual,Did any of the 5 things that you were subsequently to mention in the first part of 2013 in that draft document that we looked at before the break form part of your briefing to Susan Crichton?
592,Henderson,Ian Henderson,Individual,"don't rely on us, we need to deal with this urgently and go and either rubbish what we've said or confirm it, and if, God forbid, an expert in criminal law says that Mr Henderson and I— more Mr Henderson is right, you're going to have to review a whole load more cases."
598,Beer,Beer,Individual,"I think it's what we were referring to earlier, Mr Beer."
604,Post Office,Post Office,Organisation,"Yes, but to be fair to Post Office, And to Mr Henderson, I had to consider the possibility that we were wrong."
604,Henderson,Ian Henderson,Individual,"Yes, but to be fair to Post Office, And to Mr Henderson, I had to consider the possibility that we were wrong."
605,Ian,Ian,Individual,"I didn't think we were, I don't think Ian was and he never has been, but we had to give the benefit of the doubt and say go off and get a second opinion on this, but not the second opinion that they eventually sought."
606,Susan Crichton,Susan Crichton,Individual,"Moving to that, you say at the foot of that paragraph, she said— Susan Crichton— she would take the matter to Cartwright King, and you tell us over the page that you laughed out loud at that simply preposterous suggestion, responding by saying that Cartwright King would be entirely unsuitable because they could never be viewed as independent and they would then be marking their own homework."
606,Cartwright King,Cartwright King,Individual,"Moving to that, you say at the foot of that paragraph, she said— Susan Crichton— she would take the matter to Cartwright King, and you tell us over the page that you laughed out loud at that simply preposterous suggestion, responding by saying that Cartwright King would be entirely unsuitable because they could never be viewed as independent and they would then be marking their own homework."
618,MPs,MPs,Organisation,Because the MPs had said that they were interested on behalf of their constituents in the cases that had gone to prosecution?
619,Arbuthnot,James Arbuthnot,Individual,"Oh, let's face it, Lord Arbuthnot was— he had, I think, 3 constituents, one of which was Jo, where this was central to the reason he was pushing for investigation be carried out."
619,Jo,Jo,Individual,"Oh, let's face it, Lord Arbuthnot was— he had, I think, 3 constituents, one of which was Jo, where this was central to the reason he was pushing for investigation be carried out."
621,Susan Crichton,Susan Crichton,Individual,"Did you find out what in fact happened at this time or shortly thereafter, namely in August or September 2012, whether or not your suggestion of referring this to a competent barrister experienced in criminal cases, or as Susan Crichton said she was going to do, refer it to Cartwright King, in fact happened?"
621,Cartwright King,Cartwright King,Individual,"Did you find out what in fact happened at this time or shortly thereafter, namely in August or September 2012, whether or not your suggestion of referring this to a competent barrister experienced in criminal cases, or as Susan Crichton said she was going to do, refer it to Cartwright King, in fact happened?"
623,Simon Clarke,Simon Clarke,Individual,"And is it your understanding that what actually happened was a result of your suggestion in August or September 2012, or was prompted by something entirely different, namely the Simon Clarke advice of July '13?"
626,Clarke,Clarke,Organisation,"Whether the Clarke advice was sought because of what we'd raised, or just because they thought it was a good idea anyway, I don't know."
628,Cartwright King,Cartwright King,Individual,"That wasn't fed back, that wasn't a communication that you were a party to, i.e., the motivating cause for going off to Cartwright King?"
631,kick Susan's,kick Susan's,Individual,"But I think that coincided with— I can't for the moment remember why, I'm afraid, why I didn't go back and kick Susan's door down on this."
635,Simon Baker,Simon Baker,Individual,Can we look at an exchange that I showed Mr Henderson this morning of May 2013 between you and Simon Baker?
639,Simon Baker,Simon Baker,Individual,"There's an email to you from Simon Baker of May 2013, so a couple of months before publication of the interim report."
641,Paula,Vennells,Individual,And it looks like it's in readiness for a meeting that you're to have with Paula
642,Baker,Baker,Individual,"And he, Mr Baker, says, just to ensure we're on the same page, Paula would like to say we've agreed at the following, the second slide, can you confirm you agree?"
642,Paula,Vennells,Individual,"And he, Mr Baker, says, just to ensure we're on the same page, Paula would like to say we've agreed at the following, the second slide, can you confirm you agree?"
643,Horizon,Horizon,Technical System,"And then 2, by using the 2 to 3 cases, you'll answer the question, have systemic defects in the Horizon system resulted in the wrongful conviction or suspension of subpostmasters?"
645,Horizon,Horizon,Technical System,Defects in the Horizon system which are systemic and the conviction wrongfully of subpostmasters?
646,Ludicrous,Ludicrous,Individual,"It may well be combining 2 things, but I think it's very carefully crafted to be— to ask us to agree to something which is Ludicrous."
653,Henderson,Ian Henderson,Individual,"You had in the earlier August or September been told quite a lot by Mr Henderson about prosecutorial misconduct, and you had yourself told Susan Crichton about prosecutorial conduct."
653,Susan Crichton,Susan Crichton,Individual,"You had in the earlier August or September been told quite a lot by Mr Henderson about prosecutorial misconduct, and you had yourself told Susan Crichton about prosecutorial conduct."
662,Ian,Ian,Individual,Ian
667,Beer,Beer,Individual,"I wish now I'd actually sort of given them both barrels in terms of the suspicion that there was room for prosecutions, but I don't— I can't recall exactly why I worded it that way, I'm afraid, Mr. Beer."
670,the Post Office,Post Office,Organisation,We explained then that we didn't have the experience and we suggested a way forward for the Post Office.
674,the Post Office,Post Office,Organisation,"And again, I think you may have answered this already, do you think on reflection this episode, i.e., picking up probable misconduct of prosecutions as early as August and September 2012, raising that with the Post Office, suggesting a solution, them not taking it up seemingly, but then asking you to use a 2 or 3 case sample size to A, answer the question whether there are systemic defects, and B, to say that has not resulted in the wrongful conviction of any subpostmasters, is absurd, should have been included in the interim report."
675,Post Office,Post Office,Organisation,"Yes, we were somewhat inured to receiving absurd responses from Post Office already at that point."
678,Susan,Susan Crichton,Individual,"And I suppose— I'm not inventing this, but I think that at that point I still was naive enough to be thinking that my suggestion to Susan was underway and that there would be an educational input to us which would have said, Hang on, boys, thank you for alerting us to this, but you're completely wrong on that."
678,Hang,Hang,Individual,"And I suppose— I'm not inventing this, but I think that at that point I still was naive enough to be thinking that my suggestion to Susan was underway and that there would be an educational input to us which would have said, Hang on, boys, thank you for alerting us to this, but you're completely wrong on that."
679,Atkinson,Atkinson,Individual,"Here is the words of, you know, Mr Atkinson or whoever, somebody of that stature, that would have said, you're barking up the wrong tree, you two."
683,Ms Crichton's,Ms Crichton's,Organisation,You tell us in your witness statement that you need to correct something that you heard in Ms Crichton's evidence.
685,Jenkins,Gareth Jenkins,Individual,And the thing that you need to correct is she said that you were impressed by Mr Jenkins as an expert witness.
686,Henderson,Ian Henderson,Individual,"You say that to the best of your knowledge, neither you nor Mr Henderson said that you were impressed by Mr Jenkins as an expert witness, but instead impressed by him as a computer or systems expert; is that right?"
686,Jenkins,Gareth Jenkins,Individual,"You say that to the best of your knowledge, neither you nor Mr Henderson said that you were impressed by Mr Jenkins as an expert witness, but instead impressed by him as a computer or systems expert; is that right?"
688,Henderson,Ian Henderson,Individual,Was it you or Mr Henderson that said that to Susan Crichton?
688,Susan Crichton,Susan Crichton,Individual,Was it you or Mr Henderson that said that to Susan Crichton?
689,Henderson,Ian Henderson,Individual,"Probably both, but it would have come more credibly from Mr Henderson, who had more contact with Gareth Jenkins than I did."
695,Horizon,Horizon,Technical System,We did not think from what we had seen that he could have been aware of the duties that an expert witness would owe to the court and so was partisan in his views concerning Horizon.
696,Susan,Susan Crichton,Individual,"It's possible we failed to make that distinction clear to Susan, such as she misunderstood us on the that point."
697,Jenkins,Gareth Jenkins,Individual,"The first point is you say, we did not think from what we'd seen that Mr Jenkins could have been aware of the duties that an expert would owe to the court."
699,Prescient,Prescient,Organisation,I find it difficult to think that we could have been as Prescient.
701,Ian,Ian,Individual,"But having said that, Ian is and has served as an expert witness."
705,Horizon,Horizon,Technical System,"He was just an expert in the Horizon system, and Ian and I knew enough about it to say, how on earth could the courts accept that this person who, if you like, never— we didn't know at the time he never before acted as an expert witness, but he just didn't come across as an expert witness."
705,Ian,Ian,Individual,"He was just an expert in the Horizon system, and Ian and I knew enough about it to say, how on earth could the courts accept that this person who, if you like, never— we didn't know at the time he never before acted as an expert witness, but he just didn't come across as an expert witness."
708,Susan,Susan Crichton,Individual,"We weren't prescient, but I know that we would not have described him as— to Susan— as a very good expert witness."
716,the Court of Appeal,the Court of Appeal,Organisation,"Well, actually it was— it came out with a fanfare of trumpets, didn't it, at the Court of Appeal when the Clarke advice was first in the Hamilton versus—"
716,Clarke,Clarke,Organisation,"Well, actually it was— it came out with a fanfare of trumpets, didn't it, at the Court of Appeal when the Clarke advice was first in the Hamilton versus—"
716,Hamilton,Hamilton,Individual,"Well, actually it was— it came out with a fanfare of trumpets, didn't it, at the Court of Appeal when the Clarke advice was first in the Hamilton versus—"
719,Henderson,Ian Henderson,Individual,"I had not seen it, neither, as far as I'm aware, had Mr Henderson seen it before that date."
720,the Post Office,Post Office,Organisation,Had you been made aware by the Post Office that— of the substance of the conclusions reached in relation to Mr Jenkins?
722,Post Office,Post Office,Organisation,"There's evidence that the inquiry has that in autumn 2013, specifically September, the Post Office lawyers knew that there was at least a serious issue as to whether it, the Post Office, had properly instructed Mr Jenkins as to his expert duties."
722,Mr Jenkins,Mr Jenkins,Individual,"There's evidence that the inquiry has that in autumn 2013, specifically September, the Post Office lawyers knew that there was at least a serious issue as to whether it, the Post Office, had properly instructed Mr Jenkins as to his expert duties."
723,Post Office,Post Office,Organisation,Did anyone reveal— within the Post Office ever reveal that to you?
726,Lee Carstleton,Lee Carstleton,Individual,"I think the first I knew of that, to be precise, would have been when I looked at the Seema Misra, Lee Carstleton and other cases where he had submitted written witness statements, and I think only in one case did Did he give— did he follow that up with oral evidence?"
727,Post Office,Post Office,Organisation,"Had the Post Office confirmed to you that it had relied on Mr Jenkins as an expert witness in a series of criminal cases, I think 15 in total, but that it had not instructed him as an expert witness properly or had failed to explain the duties owed by an expert, would that have added to your concerns about the conduct of criminal prosecutions by Post Office?"
730,Post Office,Post Office,Organisation,Would it have made you question still further the competency and ethics of the Post Office prosecutors?
732,the Post Office,Post Office,Organisation,"If you had had revealed to you the substance of the Simon Clarke advice of the 15th of July 2013, would that— what effect would have that had upon you as to the propriety of certain criminal proceedings conducted by the Post Office?"
734,Seema Misra,Seema Misra,Individual,You said that one of the cases you were considering was Seema Misra.
736,Seema Misra,Seema Misra,Individual,Did you read a Seema Misra file?
737,Ian,Ian,Individual,I think Ian had looked at the file.
739,Ian,Ian,Individual,So I came to that stuff after Ian had already looked at the paper documents.
740,Seema Misra,Seema Misra,Individual,"And to the best of your memory, the, the Seema Misra file, was that the disclosed documents, i.e., the documents that would have been disclosed to the defence, or was it the prosecution case file?"
744,Ian,Ian,Individual,That would be more the sort of work that Ian was doing.
752,Paula Venles,Paula Venles,Individual,"But more particularly, you say, I wish I had demanded rather than asked more frequently to see Paula Venles, but also when I was doubting whether the truth was penetrating through to her and the I should have demanded to address the Post Office's full board."
752,the Post Office's,Post Office,Organisation,"But more particularly, you say, I wish I had demanded rather than asked more frequently to see Paula Venles, but also when I was doubting whether the truth was penetrating through to her and the I should have demanded to address the Post Office's full board."
754,Parker,Parker,Individual,"No, other than, as has been mentioned earlier today, the post-firing December 2015 invitation to speak to Mr. Parker."
759,the Post Office's,Post Office,Organisation,"You say in C that you wish you had flatly refused to communicate with the Post Office's CEO and its board through the conduit of Chris Oyarb, Belinda Crowe, Patrick Baulk and Angela Vanden Bogart."
759,Chris Oyarb,Chris Oyarb,Individual,"You say in C that you wish you had flatly refused to communicate with the Post Office's CEO and its board through the conduit of Chris Oyarb, Belinda Crowe, Patrick Baulk and Angela Vanden Bogart."
759,Belinda Crowe,Belinda Crowe,Individual,"You say in C that you wish you had flatly refused to communicate with the Post Office's CEO and its board through the conduit of Chris Oyarb, Belinda Crowe, Patrick Baulk and Angela Vanden Bogart."
759,Patrick Baulk,Patrick Baulk,Individual,"You say in C that you wish you had flatly refused to communicate with the Post Office's CEO and its board through the conduit of Chris Oyarb, Belinda Crowe, Patrick Baulk and Angela Vanden Bogart."
759,Angela Vanden Bogart,Angela Vanden Bogart,Individual,"You say in C that you wish you had flatly refused to communicate with the Post Office's CEO and its board through the conduit of Chris Oyarb, Belinda Crowe, Patrick Baulk and Angela Vanden Bogart."
762,Roderick Williams,Roderick Williams,Individual,"I think Roderick Williams was in, was in that sort of central team, but those are the main ones."
763,Chris Ojard,Chris Ojard,Individual,"And of course later, after Chris Ojard left, Jane McLeod."
763,Jane McLeod,Jane McLeod,Individual,"And of course later, after Chris Ojard left, Jane McLeod."
767,Baird,Baird,Individual,"And to forgive the language, or not as you see fit, Mr. Baird, but I felt that I was— I, if you like, accepted that I should be talking to the monkeys instead of the organ grinder."
768,Wynne,Wynne,Individual,"And I felt— I now, with retrospect, with hindsight, I feel ashamed that I allowed myself to You tell us in paragraph 108, in answer to the question, any other matters that you wish to bring to Sir Wynne's attention, if you had to select one document, it would be an email that you sent on 3 March 2015, which in fact I looked at with Mr Henderson this morning."
768,Henderson,Ian Henderson,Individual,"And I felt— I now, with retrospect, with hindsight, I feel ashamed that I allowed myself to You tell us in paragraph 108, in answer to the question, any other matters that you wish to bring to Sir Wynne's attention, if you had to select one document, it would be an email that you sent on 3 March 2015, which in fact I looked at with Mr Henderson this morning."
773,Alan Jones,Alan Jones,Individual,"This is in relation to the case of Case MO18, Alan Jones."
785,Jones,Jones,Individual,"Is what you said to Mr Jones there an accurate view of your engagement with the Post Office, or does it contain hyperbole because you were speaking to a subpostmaster?"
785,the Post Office,Post Office,Organisation,"Is what you said to Mr Jones there an accurate view of your engagement with the Post Office, or does it contain hyperbole because you were speaking to a subpostmaster?"
788,Warmington,Ron Warmington,Individual,"Mr. Warmington, thank you."
793,Steele,Steele,Individual,I think it's Mr Steele.
794,Jones,Jones,Individual,"For all the questions that are asked, the date of that conversation with Mr Jones, can you give me any idea of the year we're talking about?"
805,Post Office,Post Office,Organisation,It wasn't one of the sort of covertly recorded calls that I felt pressed to make later on in the— when dealing with Post Office management.
812,Normington,Normington,Individual,"Anyway, I, I simply wanted to be clear in my mind that it was a conversation while, uh, Mr. Normington was still, um, investigating, so to speak?"
815,Steen,Steen,Individual,I think Mr. Steen.
816,Warmington,Ron Warmington,Individual,"Mr. Warmington, a few areas to just deal with briefly, or 3 I think to deal with briefly and one slightly more lengthy about suspense accounts, okay?"
818,Beer,Beer,Individual,You've answered some questions from Mr Beer regarding the possibility of the Post Office keeping a general file.
818,Post Office,Post Office,Organisation,You've answered some questions from Mr Beer regarding the possibility of the Post Office keeping a general file.
819,Ms Crichton,Ms Crichton,Individual,Did you find out from Ms Crichton whether there was anything similar to a general file that might have been kept by Fujitsu?
819,Fujitsu,Fujitsu,Organisation,Did you find out from Ms Crichton whether there was anything similar to a general file that might have been kept by Fujitsu?
822,NDA,NDA,Organisation,"Moving then on to just a couple of other small areas, there was an NDA, non-disclosure agreement, that was signed by Second Sight."
822,Second Sight,Second Sight,Organisation,"Moving then on to just a couple of other small areas, there was an NDA, non-disclosure agreement, that was signed by Second Sight."
824,Henderson,Ian Henderson,Individual,"We've heard today the evidence of Mr Henderson about how he viewed the fact that he wished there had been an agreement, essentially a whistleblowing agreement, part of the contract."
825,Henderson,Ian Henderson,Individual,"I note that you refer in your first statement at paragraph 102 to the fact that both you and Mr Henderson, you offered your assistance to Freeths to provide assistance and support for subpostmasters, presumably in the GLO process; is that right?"
825,Freeths,Freeths,Individual,"I note that you refer in your first statement at paragraph 102 to the fact that both you and Mr Henderson, you offered your assistance to Freeths to provide assistance and support for subpostmasters, presumably in the GLO process; is that right?"
825,GLO,GLO,Organisation,"I note that you refer in your first statement at paragraph 102 to the fact that both you and Mr Henderson, you offered your assistance to Freeths to provide assistance and support for subpostmasters, presumably in the GLO process; is that right?"
828,Patrick Green,Patrick Green,Individual,"Yes, with the exception of 2 meetings, one with Patrick Green very briefly, when we were essentially told there's not much you can tell us, or that, you know, I don't want you to tell us very much, we'll find things out ourselves, and more importantly, I think, with— in a much longer meeting with Jason Coyne and Dr. Warden, when we were helping them to arrive at their witness statement."
828,Jason Coyne,Jason Coyne,Individual,"Yes, with the exception of 2 meetings, one with Patrick Green very briefly, when we were essentially told there's not much you can tell us, or that, you know, I don't want you to tell us very much, we'll find things out ourselves, and more importantly, I think, with— in a much longer meeting with Jason Coyne and Dr. Warden, when we were helping them to arrive at their witness statement."
828,Warden,Warden,Individual,"Yes, with the exception of 2 meetings, one with Patrick Green very briefly, when we were essentially told there's not much you can tell us, or that, you know, I don't want you to tell us very much, we'll find things out ourselves, and more importantly, I think, with— in a much longer meeting with Jason Coyne and Dr. Warden, when we were helping them to arrive at their witness statement."
832,NDA,NDA,Organisation,"If you hadn't had the restriction of the NDA, do you feel that that would have enabled you and Mr Henderson to come forward with more information at perhaps an earlier stage?"
834,NDA,NDA,Organisation,"And learning lessons for the future in relation to anyone else that engages in work with a corporation such as Pole or any other company, do you think there should be a different way of handling those questions, an NDA that allows for an perception in relation to whistleblowing."
836,Dean,Dean,Individual,"Thank you, Mr. Dean."
838,NDA,NDA,Organisation,"To try and patch the situation by having an escape clause in the NDA circumvents the— or ignores the original problem, which we've referred to, if you make the investigator a vassal of the subject of the investigation, nobody should be surprised that there's tears before bedtime."
841,Henderson,Ian Henderson,Individual,"If it hadn't been for the courage of Mr Henderson and maybe my, you know, not telling my wife what all the risks were, I would have pulled stumps on the whole thing."
842,Kay Linnell,Kay Linnell,Individual,"Talking of courage and dedication, Kay Linnell was someone who has provided over now many, many years superb support to Sir Alan."
842,Alan,Alan,Individual,"Talking of courage and dedication, Kay Linnell was someone who has provided over now many, many years superb support to Sir Alan."
844,Kay,Kay Lynell,Individual,I hold Kay in the very highest regard.
