sentence_index,entity_raw,entity_normalised,category,sentence_text,session
479,Second Sight,Second Sight,Organisation,"Proposal, James Arbuthnot to request Second Sight to complete the investigations on 2 to 3 MPs' cases, selecting the ones they feel best indicate systemic problems.",Day143
485,James Arbuthnot,James Arbuthnot,Individual,This was a briefing to you of what you should say and seek to achieve in a meeting with James Arbuthnot?,Day143
489,James Arbuthnot,James Arbuthnot,Individual,"that James Arbuthnot should be asked to persuade Second Sight to wind their investigation up on 2 to 3 cases, and those 2 to 3 cases would answer the question, have systemic defects resulted in the wrongful conviction of subpostmasters?",Day143
489,Second Sight,Second Sight,Organisation,"that James Arbuthnot should be asked to persuade Second Sight to wind their investigation up on 2 to 3 cases, and those 2 to 3 cases would answer the question, have systemic defects resulted in the wrongful conviction of subpostmasters?",Day143
492,James Arbuthnot,James Arbuthnot,Individual,"Had by this stage, in readiness for the meeting with James Arbuthnot on 23 May 2013, you signed up to the idea that he would be asked to persuade Second Sight or request Second Sight to wind their investigation up?",Day143
492,Second Sight,Second Sight,Organisation,"Had by this stage, in readiness for the meeting with James Arbuthnot on 23 May 2013, you signed up to the idea that he would be asked to persuade Second Sight or request Second Sight to wind their investigation up?",Day143
493,Horizon,Horizon,Technical System,"on the basis of 2 to 3 MP cases answering the question, have systemic defects in Horizon resulted in the wrongful conviction of some postmasters?",Day143
497,MPs,MPs,Organisation,My understanding was that this— we had made a commitment to the MPs and all the way through this I wanted all of the cases looked at.,Day143
498,James Arbuthnot,James Arbuthnot,Individual,We've seen now an email that attributes to you suggestion that you wanted to agree this with James Arbuthnot and a speaking note or a briefing note saying the same thing?,Day143
501,Horizon,Horizon,Technical System,"focus on answering the question, have systemic defects in Horizon resulted in the wrongful conviction of subpostmasters, by reference to 2 to 3 cases?",Day143
510,Martin Edwards,Martin Edwards,Individual,An email from Martin Edwards.,Day143
511,Edwards,Edwards,Individual,"Can you explain who Mr Edwards was at this time, July 13th?",Day143
512,Martin Edwards,Martin Edwards,Individual,Martin Edwards was my Chief of Staff.,Day143
523,Horizon,Horizon,Technical System,"In line with our discussion on Monday's Board call, we understand they've not found any evidence yet of systemic issues with the Horizon system, and it should be noted that this is based on a detailed review of their 4 best cases in terms of compelling evidence.",Day143
524,Horizon,Horizon,Technical System,"So by this time I think you had drawn a link between a review of a small number of cases, it's got up to 4, and whether there were systemic issues with Horizon?",Day143
526,Second Sight,Second Sight,Organisation,Second Sight were prepared to say that there were no systemic issues with Horizon generally on the basis of looking at 4 cases?,Day143
526,Horizon,Horizon,Technical System,Second Sight were prepared to say that there were no systemic issues with Horizon generally on the basis of looking at 4 cases?,Day143
530,the Post Office,Post Office,Organisation,"Second Sight themselves, I think, refer to it as something that might have a broad impact across the Post Office or across the system, I can't remember, but you will have the reference.",Day143
535,the Post Office Board,the Post Office Board,Organisation,Was there a shared understanding between you and the Post Office Board as to what systemic issues meant?,Day143
537,Post Office,Post Office,Organisation,Was there a shared understanding between you and the Post Office team that were leading on the work with Second Sight as to what systemic issues meant?,Day143
537,Second Sight,Second Sight,Organisation,Was there a shared understanding between you and the Post Office team that were leading on the work with Second Sight as to what systemic issues meant?,Day143
543,Vennells,Vennells,Individual,"Ms. Vennells, can we turn, please, Can we look please to some documents that may provide some insight into your approach and decision-making in relation to the Post Office's decision not to review all past convictions in the light of what was emerging from Second Sight?",Day143
543,the Post Office's,Post Office,Organisation,"Ms. Vennells, can we turn, please, Can we look please to some documents that may provide some insight into your approach and decision-making in relation to the Post Office's decision not to review all past convictions in the light of what was emerging from Second Sight?",Day143
547,Lesley,Lesley Sewell,Individual,"Lesley, Sue, Martin Edwards, Mark Davies, Alwyn Lyon, Susan Crichton.",Day143
547,Sue,Sue,Individual,"Lesley, Sue, Martin Edwards, Mark Davies, Alwyn Lyon, Susan Crichton.",Day143
547,Martin Edwards,Martin Edwards,Individual,"Lesley, Sue, Martin Edwards, Mark Davies, Alwyn Lyon, Susan Crichton.",Day143
547,Mark Davies,Mark Davies,Individual,"Lesley, Sue, Martin Edwards, Mark Davies, Alwyn Lyon, Susan Crichton.",Day143
547,Alwyn Lyon,Alwyn Lyon,Individual,"Lesley, Sue, Martin Edwards, Mark Davies, Alwyn Lyon, Susan Crichton.",Day143
547,Susan Crichton,Susan Crichton,Individual,"Lesley, Sue, Martin Edwards, Mark Davies, Alwyn Lyon, Susan Crichton.",Day143
551,Susan,Susan Crichton,Individual,"Susan, I need your thoughts on the note below, especially 1 and 2, please, and the questions at the end of the mail.",Day143
554,Post Office,Post Office,Organisation,This comprises the Post Office working collaborators collaboratively with the JFSA and does 3 things.,Day143
559,the Post Office,Post Office,Organisation,"And then this, thirdly, our external lawyers review all prosecutions in the past 12 to 18 months since the Post Office has been independent of Royal Mail in the light of the Second Sight findings?",Day143
559,Royal Mail,Royal Mail,Organisation,"And then this, thirdly, our external lawyers review all prosecutions in the past 12 to 18 months since the Post Office has been independent of Royal Mail in the light of the Second Sight findings?",Day143
560,Working Group,Working Group,Organisation,"The JFSA Post Office Working Group reviews the findings, and then in square brackets, why would they not review all cases of false accounting, e.g., over the last 5 to 10 years, especially where amounts have been small?",Day143
562,James Arbuthnot,James Arbuthnot,Individual,It's the false accounting charge that James Arbuthnot was most concerned about.,Day143
567,James R. Bothnaut,James R. Bothnaut,Individual,—to the JFSA and James R. Bothnaut for highlighting the issues.,Day143
568,Post Office,Post Office,Organisation,"Many are historic and already improved, but we're always open to new ways to improve how we do business, to ensure the Post Office stays as trusted and effective in its communities as it ever was.",Day143
569,Alan Bates,Alan Bates,Individual,"So going back— and sorry, you say, can we draft this into something I could send to Alan Bates?",Day143
574,Susan,Susan Crichton,Individual,"Susan, would we ever ask the lawyers to consider reviewing past prosecutions?",Day143
584,Bates,Alan Bates,Individual,"I don't remember, and if I might just add, in case there's any confusion, the description muddle-headed was one that Mr Bates had used, that wasn't a word I had picked that up, but in terms of answering your question specifically, I can't recall why 12 to 18 months.",Day143
585,Board,Board,Organisation,There was a question raised by the Board at some stage as to— These are your proposals though?,Day143
589,Alan Bates,Alan Bates,Individual,"And said we've got the following, which is a variant, and you've said can this be drawn up into a document that can be sent to Alan Bates?",Day143
595,Susan,Susan Crichton,Individual,It could only have been Susan.,Day143
598,Board,Board,Organisation,"What I was just trying to say is that the Board had asked at some stage, but I'm not sure if it was at this point, whether the company— and this is also in the Isaac Perkins statement— had conducted any prosecutions which had relied solely on Horizon, because there was a concern clearly because of the issues that were being raised by Lord Arbuthnot that the Board didn't want to be taking prosecutions until the various investigations had been seen through, but I don't know whether that was anything to do with this particular point.",Day143
598,Isaac Perkins,Isaac Perkins,Individual,"What I was just trying to say is that the Board had asked at some stage, but I'm not sure if it was at this point, whether the company— and this is also in the Isaac Perkins statement— had conducted any prosecutions which had relied solely on Horizon, because there was a concern clearly because of the issues that were being raised by Lord Arbuthnot that the Board didn't want to be taking prosecutions until the various investigations had been seen through, but I don't know whether that was anything to do with this particular point.",Day143
598,Horizon,Horizon,Technical System,"What I was just trying to say is that the Board had asked at some stage, but I'm not sure if it was at this point, whether the company— and this is also in the Isaac Perkins statement— had conducted any prosecutions which had relied solely on Horizon, because there was a concern clearly because of the issues that were being raised by Lord Arbuthnot that the Board didn't want to be taking prosecutions until the various investigations had been seen through, but I don't know whether that was anything to do with this particular point.",Day143
600,Susan,Susan Crichton,Individual,"If I have collated this from information from colleagues, that could only have come from Susan, I think.",Day143
607,the Post Office,Post Office,Organisation,It says review all prosecutions in the past 12 to 18 months since the Post Office has been independent of Royal Mail.,Day143
607,Royal Mail,Royal Mail,Organisation,It says review all prosecutions in the past 12 to 18 months since the Post Office has been independent of Royal Mail.,Day143
609,Board,Board,Organisation,"No, I think that is my point about the question that was raised in the Board, because the Board had only been in place post— since the Post Office had been independent of Royal Mail.",Day143
609,the Post Office,Post Office,Organisation,"No, I think that is my point about the question that was raised in the Board, because the Board had only been in place post— since the Post Office had been independent of Royal Mail.",Day143
609,Royal Mail,Royal Mail,Organisation,"No, I think that is my point about the question that was raised in the Board, because the Board had only been in place post— since the Post Office had been independent of Royal Mail.",Day143
619,the Post Office,Post Office,Organisation,The scheme was opened to 150 cases that came forwards and the Post Office advertised across the network for any postmasters who wanted to come into the scheme and put their— and have their cases reviewed.,Day143
620,Post Office,Post Office,Organisation,"So my understanding at the time is that we were open to however many postmasters came forwards, but in terms of specifically the Post Office legal team and its lawyers going back and looking at all the cases, that wasn't the work that was in place.",Day143
623,the Post Office,Post Office,Organisation,"Here you're suggesting that the Post Office itself, through external lawyers, proactively review all cases of false accounting going back up to a decade.",Day143
628,Mark Davis,Mark Davis,Individual,"We're going to come to the answers, the narrow answers, and essentially we're going to find out that Mark Davis, the PR guy, said it's very dangerous.",Day143
630,MPs,MPs,Organisation,"I was asking the question to do this work the right way, and my understanding and acceptance of what was proposed, which was accepted by the MPs and everybody else involved, was that the mediation scheme was the right way through.",Day143
631,CCRC,CCRC,Organisation,I think we see other documentation that sees cases go to the CCRC.,Day143
632,the Court of Appeal,the Court of Appeal,Organisation,There is documentation that says cases can't be resolved through mediation in the scheme and they would need to go through the Court of Appeal.,Day143
638,Board,Board,Organisation,"At the time, I and the Board and everybody else involved in what succeeded after this particular point— sorry, wrong word— what took place after this particular point felt that that was completely the right way to do this.",Day143
655,Paula,Vennells,Individual,"Hi, Paula, could we have a word at some point today to discuss this, and specifically how far we go in terms of the wording below?",Day143
664,James Arbuthnot,James Arbuthnot,Individual,"It would also give James Arbuthnot, a very strong case for asking for a parliamentary statement from BIS.",Day143
664,BIS,BIS,Organisation,"It would also give James Arbuthnot, a very strong case for asking for a parliamentary statement from BIS.",Day143
666,AB,AB,Organisation,It would have the ballistic impact which AB fears.,Day143
667,Horizon,Horizon,Technical System,"It would lead to a very public narrative about the very nature of the business, raising questions about Horizon, the reality of what Second Sight has town would be misunderstood and having an impact on public views about the Post Office and really widening the issue to the whole network.",Day143
667,the Post Office,Post Office,Organisation,"It would lead to a very public narrative about the very nature of the business, raising questions about Horizon, the reality of what Second Sight has town would be misunderstood and having an impact on public views about the Post Office and really widening the issue to the whole network.",Day143
668,Davis,Davis,Individual,Do you agree that Mr Davis is here giving you personal advice on the extent to which past convictions are reviewed on the basis of the extent of the media coverage that each decision might generate?,Day143
669,Post Office,Post Office,Organisation,"My understanding at the time was that he, and I think the Post Office generally, and we've seen similar comments from the Chairman as well, believed we were dealing with a small number of cases, and the numbers that were coming forward seemed to, at that stage— clearly more came later— seemed to indicate that was the case.",Day143
670,Mark Davies,Mark Davies,Organisation,"And the inquiry heard from Mark Davies last week, I think, where he explained— and that was my understanding at the time— that what he was trying to do was to minimise misinterpretation.",Day143
672,the Post Office,Post Office,Organisation,"But at the time, that wasn't what the Post Office thought, and I think what he was trying to do here was to, as I say, to minimise misinterpretation and exaggeration in the media.",Day143
682,Ms Vennells,Vennells,Individual,"Isn't he directly saying— Yes, I can see that that's what he's saying, but my My mindset at the time when I received this is that we were working on specific cases that were coming forwards and we opened up— No, no, no, hold on, Ms Vennells.",Day143
694,Davis,Davis,Individual,Did you remain in contact with Mr Davis after you left Post Office?,Day143
694,Post Office,Post Office,Organisation,Did you remain in contact with Mr Davis after you left Post Office?,Day143
699,Davis,Davis,Individual,"I had kept in touch with Mr Davis for reasons that, um, were very personal to him and I think he offered that advice at the time.",Day143
700,Davis,Davis,Individual,To what extent did what Mr Davis advised here affect your decision-making?,Day143
705,Mark,Mark,Individual,"Mark, thanks for this.",Day143
718,James Arbuthnot,James Arbuthnot,Individual,"The second is to make sure we do address the concerns of James Arbuthnot and Alan Bates, mainly looking forwards, but we should be aware of Alan Bates' driver is really justice for the past, otherwise they will call for reopening cases.",Day143
718,Alan Bates,Alan Bates,Individual,"The second is to make sure we do address the concerns of James Arbuthnot and Alan Bates, mainly looking forwards, but we should be aware of Alan Bates' driver is really justice for the past, otherwise they will call for reopening cases.",Day143
718,Alan Bates',Alan Bates',Individual,"The second is to make sure we do address the concerns of James Arbuthnot and Alan Bates, mainly looking forwards, but we should be aware of Alan Bates' driver is really justice for the past, otherwise they will call for reopening cases.",Day143
720,Alan Bates,Alan Bates,Individual,"It may be that we get to manage Alan Bates and James Arbuthnot by playing on the go-ballistic view, i.e., I'll meet him privately to hear his views about these cases, but we cannot refer to anything in relation to past convictions, any challenge must be— must go via normal legal routes.",Day143
720,James Arbuthnot,James Arbuthnot,Individual,"It may be that we get to manage Alan Bates and James Arbuthnot by playing on the go-ballistic view, i.e., I'll meet him privately to hear his views about these cases, but we cannot refer to anything in relation to past convictions, any challenge must be— must go via normal legal routes.",Day143
722,the Second Sight Interim Report,the Second Sight Interim Report,Organisation,"The media issue related to, I believe, Because we were right on the day or the day before the release of the Second Sight Interim Report, and that's my recollection that that is the media conversation that we were having.",Day143
726,Post Office,Post Office,Organisation,"I'm pretty sure that was in relation to the interim report which was due out any time, which as the inquiry has seen and heard from other people, there were issues in that report which the Post Office disagreed with and the team felt Second Sight hadn't taken account of.",Day143
728,Mark,Mark,Individual,"No, no, what you're saying here is you're right, Mark, we will put the past behind us, we won't look at past cases, we'll focus on the future?",Day143
735,the Court of Appeal,the Court of Appeal,Organisation,"There were other conversations going on at the same time as this exchange with colleagues, and it was very clear that any cases that included criminal convictions would need to go through the Court of Appeal and the normal legal routes.",Day143
738,the Post Office,Post Office,Organisation,"Do you accept that this exchange of emails files shows that in making decisions as to the substance, as to what the Post Office should do, i.e., whether it itself should seek to review whether there had been past miscarriages of justice, you took into account the views of your media adviser as to the extent to which your decision would meet with front-page news.",Day143
746,the Post Office,Post Office,Organisation,"What I was trying to do at this stage was to find a way forwards through the cases that had come into the Post Office and to encourage more to come forwards, which would have enabled any case to go through normal legal routes if the Post Office couldn't help it.",Day143
754,Second Sight,Second Sight,Organisation,"Well, as I see it in simple terms, Second Sight began by investigating in the context of a number of cases.",Day143
757,Second Sight,Second Sight,Organisation,"And I'm not sure, as of this date, i.e., at or about the time when Second Sight was to produce its interim report, whether the discussions of how to deal with past cases was in the context simply of Second Sight moving forward with their investigations, or by that stage, in the Post Office's mind, that was at an end and something new was emerging?",Day143
757,the Post Office's,Post Office,Organisation,"And I'm not sure, as of this date, i.e., at or about the time when Second Sight was to produce its interim report, whether the discussions of how to deal with past cases was in the context simply of Second Sight moving forward with their investigations, or by that stage, in the Post Office's mind, that was at an end and something new was emerging?",Day143
764,Post Office,Post Office,Organisation,I had been disappointed about the way the Post Office team hadn't worked as well or been able to contribute to the work Second Sight had done.,Day143
769,Susan,Susan Crichton,Individual,I had a conversation with Susan.,Day143
772,Susan,Susan Crichton,Individual,"Susan suggested that a way of bringing The trouble is I now know what didn't happen, but some of these cases, or these cases to a conclusion, would be to introduce mediation.",Day143
773,Post Office,Post Office,Organisation,"What she said was that, and again this is in documentation somewhere, is that mediation, that sometimes what was needed in cases is for people to hear the Post Office apologise and say that it was sorry that it got things wrong, or for the Post Office to explain to a subpostmaster that perhaps they had done something wrong, and that once the cases had been reviewed through this working party process, that might then be a way to reach some finality on those cases.",Day143
774,The Post Office,Post Office,Organisation,"What was also talked about at the same time was that if this was a good thing to do, which clearly it was, The Post Office then needed an ongoing process, possibly an adjudication process, an external ombudsman, on a permanent basis, so that if this type of challenge arose again, there was an external appeal process, if you like, for the postmasters to go to.",Day143
775,Wynne,Wynne,Individual,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
775,Susan,Susan Crichton,Individual,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
775,Post Office,Post Office,Organisation,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
775,Second Sight,Second Sight,Organisation,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
775,Fujitsu,Fujitsu,Organisation,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
775,the Court of Appeal,the Court of Appeal,Organisation,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
775,CCRC,CCRC,Organisation,"And the thing that I'm missing, Sir Wynne, in telling you all of that is If Susan knew, which of course she did and I wouldn't have known so well, that criminal cases couldn't be resolved through mediation, did— and this is simply a question— did she know that there would need to have been a further review, or was her understanding at that time, which is a fact that was later described, that any criminal cases going through the mediation scheme would be open to all of the investigation work that was done by Post Office and Second Sight and Fujitsu, which may then give them information to take forward to— through the normal legal routes, through the Court of Appeal or the CCRC.",Day143
776,Vennells,Vennells,Individual,"Ms. Vennells, can you look at page 2 of this document and scroll down?",Day143
780,Sight,Second Sight,Organisation,"There were conversations about whether Second Sight should or shouldn't, because there were concerns about the fact that this had run on too long and was way over budget.",Day143
792,James Arbuthnot,James Arbuthnot,Individual,"And I'm being frank with you that there were conversations about whether— there was criticism of the work that Second Sight had done, but there was equal understanding that they had the support of MPs, notably James Arbuthnot, and that we had committed to do that work.",Day143
795,the Post Office,Post Office,Organisation,Do you agree that this email chain reads as if the PR has influenced you conclusively as to a decision as to whether or not the Post Office would itself review whether and to what extent there had been past miscarriages of justice?,Day143
796,Mark Davies,Mark Davies,Organisation,I wouldn't take that steer on a legal matter from Mark Davies.,Day143
798,Mark Davies,Mark Davies,Organisation,But I wouldn't have taken a decision on anything at all to do with legal matters from Mark Davies.,Day143
803,Mark Davies,Mark Davies,Organisation,"This is a separate chain, remembering that Mark Davies had just replied to you.",Day143
804,Lesley Sewell's,Lesley Sewell,Individual,This is Lesley Sewell's reply to your email setting out your proposals.,Day143
807,Paula,Vennells,Individual,"Paula, just a couple of thoughts, if we state we will review the cases since separation, that implies that there are material findings in the Second Sight Review and leaves us open to challenge against all cases.",Day143
807,the Second Sight Review,the Second Sight Review,Organisation,"Paula, just a couple of thoughts, if we state we will review the cases since separation, that implies that there are material findings in the Second Sight Review and leaves us open to challenge against all cases.",Day143
810,Susan,Susan Crichton,Individual,"And from memory, Susan quoted more than 500 cases in the last 10 years.",Day143
814,the Post Office,Post Office,Organisation,Did you bring into account in your decision-making the views that the head of IT was giving you on the extent to which the Post Office should itself ask independent lawyers to review past convictions?,Day143
815,Lesley Sewell's,Lesley Sewell,Individual,I would have read Lesley Sewell's email sent to me.,Day143
816,the General Counsel,the General Counsel,Organisation,"I wouldn't take any decision on legal matters personally without the advice of the General Counsel, and on something this significant as the Board.",Day143
819,Simon Clarke's,Simon Clarke's,Individual,"I think your position is that you did not see Simon Clarke's advices, which address looking at past convictions, until after the Court of Appeal Criminal Division disclosures in late 2020, early 2021?",Day143
819,the Court of Appeal Criminal Division,the Court of Appeal Criminal Division,Organisation,"I think your position is that you did not see Simon Clarke's advices, which address looking at past convictions, until after the Court of Appeal Criminal Division disclosures in late 2020, early 2021?",Day143
825,Susan Crichton,Susan Crichton,Individual,"It's paragraph 562, no need to turn it up, that you recall that you were told by Susan Crichton that due to advice from external lawyers, there was a need for a review to ensure that proper disclosure had been given in previous criminal cases?",Day143
827,Lesley Sewell,Lesley Sewell,Individual,"You say that you had a conversation with Lesley Sewell, in which she told you that the Post Office had been advised that the expert witness that the Post Office had used in criminal cases to give evidence about Horizon had failed to mention there were bugs in Horizon, including in the Seema Misra case.",Day143
827,the Post Office,Post Office,Organisation,"You say that you had a conversation with Lesley Sewell, in which she told you that the Post Office had been advised that the expert witness that the Post Office had used in criminal cases to give evidence about Horizon had failed to mention there were bugs in Horizon, including in the Seema Misra case.",Day143
827,Horizon,Horizon,Technical System,"You say that you had a conversation with Lesley Sewell, in which she told you that the Post Office had been advised that the expert witness that the Post Office had used in criminal cases to give evidence about Horizon had failed to mention there were bugs in Horizon, including in the Seema Misra case.",Day143
831,the Post Office's,Post Office,Organisation,Can we please try to pin down the date on which you had knowledge of a problem with the Post Office's expert evidence?,Day143
834,Lesley Sewell,Lesley Sewell,Individual,"I remember that I— so I learned of it first from Lesley Sewell, not from Susan Crichton.",Day143
834,Susan Crichton,Susan Crichton,Individual,"I remember that I— so I learned of it first from Lesley Sewell, not from Susan Crichton.",Day143
835,Lesley,Lesley Sewell,Individual,What had happened is I passed Lesley in the corridor.,Day143
836,Susan,Susan Crichton,Individual,"She was looking particularly concerned or grumpy about something, and I asked her what was the matter, and she said that she had just heard that— so I don't know that she said this, but I'm assuming from Susan— that the Post Office expert from Fujitsu whom we had used in past cases now had to be stood down because he had not revealed— The Post Office?",Day143
836,Post Office,Post Office,Organisation,"She was looking particularly concerned or grumpy about something, and I asked her what was the matter, and she said that she had just heard that— so I don't know that she said this, but I'm assuming from Susan— that the Post Office expert from Fujitsu whom we had used in past cases now had to be stood down because he had not revealed— The Post Office?",Day143
836,Fujitsu,Fujitsu,Organisation,"She was looking particularly concerned or grumpy about something, and I asked her what was the matter, and she said that she had just heard that— so I don't know that she said this, but I'm assuming from Susan— that the Post Office expert from Fujitsu whom we had used in past cases now had to be stood down because he had not revealed— The Post Office?",Day143
837,Mrs Misra's,Mrs Misra's,Organisation,"And as I said yesterday, I think one or two bugs that he knew about in a case, and that's right, I think it was Mrs Misra's, and the reason that Lesley explained he hadn't revealed those bugs in that case is that they hadn't been— Mrs Misra's was a Horizon Online case and",Day143
837,Lesley,Lesley Sewell,Individual,"And as I said yesterday, I think one or two bugs that he knew about in a case, and that's right, I think it was Mrs Misra's, and the reason that Lesley explained he hadn't revealed those bugs in that case is that they hadn't been— Mrs Misra's was a Horizon Online case and",Day143
839,Horizon,Horizon,Technical System,Mrs Misra's case was on legacy Horizon and these bugs hadn't come into effect until Horizon Online.,Day143
839,Horizon Online,Horizon Online,Technical System,Mrs Misra's case was on legacy Horizon and these bugs hadn't come into effect until Horizon Online.,Day143
840,Ms Meadows,Ms Meadows,Individual,"Ms Meadows, the way you've described it there is that Ms Sewell was telling you that the expert had failed to mention bugs in one case and that was Seema Misra.",Day143
840,Ms Sewell,Ms Sewell,Individual,"Ms Meadows, the way you've described it there is that Ms Sewell was telling you that the expert had failed to mention bugs in one case and that was Seema Misra.",Day143
840,Seema Misra,Seema Misra,Individual,"Ms Meadows, the way you've described it there is that Ms Sewell was telling you that the expert had failed to mention bugs in one case and that was Seema Misra.",Day143
841,Seema Misra,Seema Misra,Individual,"In your witness statement you say that she told you that he had failed to give disclosure in criminal cases, including Seema Misra.",Day143
844,Susan,Susan Crichton,Individual,"Well, I then spoke to Susan, I think within a day or so of that conversation.",Day143
845,Susan,Susan Crichton,Individual,Susan explained more about it.,Day143
846,Susan,Susan Crichton,Individual,"So if you can date when Susan found out, it would have been just before that, because Lesley could only have found out from Susan.",Day143
846,Lesley,Lesley Sewell,Individual,"So if you can date when Susan found out, it would have been just before that, because Lesley could only have found out from Susan.",Day143
847,Horizon,Horizon,Technical System,"By this time, and I'll call it mid-2013, you had been engaged on the issues of Horizon integrity for some time, hadn't you?",Day143
849,Horizon,Horizon,Technical System,You knew that there had been prosecutions and that those prosecutions had been founded on evidence from Horizon?,Day143
851,Lesley Sewell,Lesley Sewell,Individual,"When told by Lesley Sewell and then Susan Crichton that there was an issue with the Post Office's expert evidence that had been relied on, to convict subpostmasters, including Mrs Misra, were you concerned?",Day143
851,Susan Crichton,Susan Crichton,Individual,"When told by Lesley Sewell and then Susan Crichton that there was an issue with the Post Office's expert evidence that had been relied on, to convict subpostmasters, including Mrs Misra, were you concerned?",Day143
851,the Post Office's,Post Office,Organisation,"When told by Lesley Sewell and then Susan Crichton that there was an issue with the Post Office's expert evidence that had been relied on, to convict subpostmasters, including Mrs Misra, were you concerned?",Day143
851,Mrs Misra,Mrs Misra,Organisation,"When told by Lesley Sewell and then Susan Crichton that there was an issue with the Post Office's expert evidence that had been relied on, to convict subpostmasters, including Mrs Misra, were you concerned?",Day143
852,Susan,Susan Crichton,Individual,"Yes, and I think Susan had— and I think the documentation says this— Susan had told— at the time I spoke to Susan about it, she said, I think, that she had already put in chain a review by the external lawyers.",Day143
853,Simon Clarke,Simon Clarke,Individual,And I think the documentation shows that she had done that before the written advice from Simon Clarke came in on the 15th.,Day143
854,Davis,Davis,Individual,"Did you at the time join the dots between the debates that we've seen you have in emails here with Mr Davis and Ms Sewell about the extent to which the Post Office should announce that it was going to review past convictions and the information that you were being given, quite separately, that the Post Office's expert witness had failed to mention bugs of which he had knowledge in criminal cases?",Day143
854,Ms Sewell,Ms Sewell,Individual,"Did you at the time join the dots between the debates that we've seen you have in emails here with Mr Davis and Ms Sewell about the extent to which the Post Office should announce that it was going to review past convictions and the information that you were being given, quite separately, that the Post Office's expert witness had failed to mention bugs of which he had knowledge in criminal cases?",Day143
854,the Post Office,Post Office,Organisation,"Did you at the time join the dots between the debates that we've seen you have in emails here with Mr Davis and Ms Sewell about the extent to which the Post Office should announce that it was going to review past convictions and the information that you were being given, quite separately, that the Post Office's expert witness had failed to mention bugs of which he had knowledge in criminal cases?",Day143
857,Mark Davies,Mark Davies,Organisation,I think because my— the The emails from Mark Davies and Lesley Sewell are part of an iterative process as to how we took this important ongoing piece of work forwards.,Day143
857,Lesley Sewell,Lesley Sewell,Individual,I think because my— the The emails from Mark Davies and Lesley Sewell are part of an iterative process as to how we took this important ongoing piece of work forwards.,Day143
858,Susan Crichton,Susan Crichton,Individual,"The conversation with Susan Crichton about the work that became known as the Carl Lightking SIFT review— I'm sorry, I think I took as a piece of reassurance that the lawyers were doing what they needed to do in terms of what I— and I think this is at the stage where I learnt about disclosure— of what they needed to do in respect to disclosure.",Day143
858,Carl Lightking,Carl Lightking,Individual,"The conversation with Susan Crichton about the work that became known as the Carl Lightking SIFT review— I'm sorry, I think I took as a piece of reassurance that the lawyers were doing what they needed to do in terms of what I— and I think this is at the stage where I learnt about disclosure— of what they needed to do in respect to disclosure.",Day143
859,Gareth Jenkins,Gareth Jenkins,Individual,"What I didn't know at this stage, to be very clear, was that by dint of what had happened with Gareth Jenkins, the Post Office had breached its duties as a prosecutor.",Day143
